season,confederation,stage,group_name,team,rank,points,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,qualified,note,source_url,rank_bucket,points_per_game,ppg_bucket,goal_diff_bucket
2006,AFC,Second Round,Group A,South Korea,2,10,6,3,1,2,9,5,4,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.afc/standings,2,1.6666666666666667,1.5-1.99,0-4
2006,AFC,Second Round,Group A,Saudi Arabia,1,14,6,4,2,0,10,1,9,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.afc/standings,1,2.3333333333333335,>=2,5-9
2006,AFC,Second Round,Group A,Kuwait,4,4,6,1,1,4,4,13,-9,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.afc/standings,3-4,0.6666666666666666,<1.0,-9- -5
2006,AFC,Second Round,Group A,Uzbekistan,3,5,6,1,2,3,7,11,-4,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.afc/standings,3-4,0.8333333333333334,<1.0,-4- -0
2006,AFC,Second Round,Group B,Iran,2,13,6,4,1,1,7,3,4,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.afc/standings,2,2.1666666666666665,>=2,0-4
2006,AFC,Second Round,Group B,Japan,1,15,6,5,0,1,9,4,5,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.afc/standings,1,2.5,>=2,5-9
2006,AFC,Second Round,Group B,Bahrain,3,4,6,1,1,4,4,7,-3,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.afc/standings,3-4,0.6666666666666666,<1.0,-4- -0
2006,AFC,Second Round,Group B,North Korea,4,3,6,1,0,5,5,11,-6,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.afc/standings,3-4,0.5,<1.0,-9- -5
2006,CAF,Group Stage,Group 1,Senegal,2,21,10,6,3,1,21,8,13,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,2,2.1,>=2,>=10
2006,CAF,Group Stage,Group 1,Mali,5,8,10,2,2,6,11,14,-3,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,5,0.8,<1.0,-4- -0
2006,CAF,Group Stage,Group 1,Liberia,6,4,10,1,1,8,3,27,-24,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,6+,0.4,<1.0,<-9
2006,CAF,Group Stage,Group 1,Congo,4,10,10,3,1,6,10,14,-4,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,3-4,1.0,1.0-1.49,-4- -0
2006,CAF,Group Stage,Group 1,Zambia,3,19,10,6,1,3,16,10,6,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,3-4,1.9,1.5-1.99,5-9
2006,CAF,Group Stage,Group 1,Togo,1,23,10,7,2,1,20,8,12,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,1,2.3,>=2,>=10
2006,CAF,Group Stage,Group 2,South Africa,3,16,10,5,1,4,12,14,-2,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,3-4,1.6,1.5-1.99,-4- -0
2006,CAF,Group Stage,Group 2,Cape Verde,5,10,10,3,1,6,8,15,-7,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,5,1.0,1.0-1.49,-9- -5
2006,CAF,Group Stage,Group 2,Burkina Faso,4,13,10,4,1,5,14,13,1,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,3-4,1.3,1.0-1.49,0-4
2006,CAF,Group Stage,Group 2,Congo DR,2,16,10,4,4,2,14,10,4,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,2,1.6,1.5-1.99,0-4
2006,CAF,Group Stage,Group 2,Uganda,6,8,10,2,2,6,6,15,-9,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,6+,0.8,<1.0,-9- -5
2006,CAF,Group Stage,Group 2,Ghana,1,21,10,6,3,1,17,4,13,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,1,2.1,>=2,>=10
2006,CAF,Group Stage,Group 3,Cameroon,2,21,10,6,3,1,18,10,8,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,2,2.1,>=2,5-9
2006,CAF,Group Stage,Group 3,Egypt,3,17,10,5,2,3,26,15,11,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,3-4,1.7,1.5-1.99,>=10
2006,CAF,Group Stage,Group 3,Libya,4,12,10,3,3,4,8,10,-2,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,3-4,1.2,1.0-1.49,-4- -0
2006,CAF,Group Stage,Group 3,Benin,6,5,10,1,2,7,9,23,-14,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,6+,0.5,<1.0,<-9
2006,CAF,Group Stage,Group 3,Sudan,5,6,10,1,3,6,6,22,-16,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,5,0.6,<1.0,<-9
2006,CAF,Group Stage,Group 3,Ivory Coast,1,22,10,7,1,2,20,7,13,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,1,2.2,>=2,>=10
2006,CAF,Group Stage,Group 4,Algeria,5,8,10,1,5,4,8,15,-7,False,,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.caf/standings,5,0.8,<1.0,-9- -5
