team,confederation,qualification_status,prob_fill_slot,current_group,position,points,played,goal_diff,form
United States,CONCACAF,Qualified,100.0,Host,,,,,
Canada,CONCACAF,Qualified,100.0,Host,,,,,
Mexico,CONCACAF,Qualified,100.0,Host,,,,,
Oman,AFC,In Progress,47.5,Group A,3,1,2,-1,
United Arab Emirates,AFC,In Progress,76.0,Group A,2,3,2,0,
Qatar,AFC,Qualified,100.0,Group A,1,4,2,1,
Saudi Arabia,AFC,Qualified,100.0,Group B,1,4,2,1,
Iraq,AFC,In Progress,80.8,Group B,2,4,2,1,
Indonesia,AFC,In Progress,38.0,Group B,3,0,2,-2,
Egypt,CAF,Qualified,100.0,Group A,1,26,10,18,
Burkina Faso,CAF,In Progress,90.2,Group A,2,21,10,15,
Djibouti,CAF,In Progress,1.0,Group A,6,1,10,-28,
Ethiopia,CAF,In Progress,14.2,Group A,5,9,10,-5,
Sierra Leone,CAF,In Progress,57.0,Group A,3,15,10,2,
Guinea-Bissau,CAF,In Progress,33.2,Group A,4,10,10,-2,
Senegal,CAF,Qualified,100.0,Group B,1,24,10,19,
Congo DR,CAF,In Progress,85.5,Group B,2,22,10,9,
Sudan,CAF,In Progress,52.2,Group B,3,13,10,2,
Togo,CAF,In Progress,28.5,Group B,4,8,10,-5,
Mauritania,CAF,In Progress,4.8,Group B,5,7,10,-9,
South Sudan,CAF,In Progress,1.0,Group B,6,5,10,-16,
South Africa,CAF,Qualified,100.0,Group C,1,18,10,6,
Nigeria,CAF,In Progress,80.8,Group C,2,17,10,7,
Benin,CAF,In Progress,57.0,Group C,3,17,10,1,
Rwanda,CAF,In Progress,19.0,Group C,5,11,10,-4,
Zimbabwe,CAF,In Progress,1.0,Group C,6,5,10,-7,
Lesotho,CAF,In Progress,33.2,Group C,4,12,10,-3,
Angola,CAF,In Progress,33.2,Group D,4,12,10,1,
Cameroon,CAF,In Progress,85.5,Group D,2,19,10,12,
Cape Verde,CAF,Qualified,100.0,Group D,1,23,10,8,
