team,confederation,qualification_status,prob_fill_slot,current_group,position,points,played,goal_diff,form
United States,CONCACAF,Qualified,100.0,Host,,,,,
Canada,CONCACAF,Qualified,100.0,Host,,,,,
Mexico,CONCACAF,Qualified,100.0,Host,,,,,
Germany,UEFA,In Progress,85.0,,1.0,7.0,3.0,6.0,
Switzerland,UEFA,In Progress,80.0,,2.0,5.0,3.0,2.0,
Hungary,UEFA,In Progress,50.0,,3.0,3.0,3.0,-3.0,
Spain,UEFA,In Progress,85.0,,1.0,9.0,3.0,5.0,
Italy,UEFA,In Progress,70.0,,2.0,4.0,3.0,0.0,
Croatia,UEFA,In Progress,50.0,,3.0,2.0,3.0,-3.0,
Albania,UEFA,In Progress,20.0,,4.0,1.0,3.0,-2.0,
England,UEFA,In Progress,80.0,,1.0,5.0,3.0,1.0,
Denmark,UEFA,In Progress,70.0,,2.0,3.0,3.0,0.0,
Slovenia,UEFA,In Progress,50.0,,3.0,3.0,3.0,0.0,
Serbia,UEFA,In Progress,30.0,,4.0,2.0,3.0,-1.0,
Austria,UEFA,In Progress,85.0,,1.0,6.0,3.0,2.0,
France,UEFA,In Progress,80.0,,2.0,5.0,3.0,1.0,
Netherlands,UEFA,In Progress,50.0,,3.0,4.0,3.0,0.0,
Poland,UEFA,In Progress,20.0,,4.0,1.0,3.0,-3.0,
Romania,UEFA,In Progress,70.0,,1.0,4.0,3.0,1.0,
Belgium,UEFA,In Progress,70.0,,2.0,4.0,3.0,1.0,
Slovakia,UEFA,In Progress,50.0,,3.0,4.0,3.0,0.0,
Ukraine,UEFA,In Progress,30.0,,4.0,4.0,3.0,-2.0,
Portugal,UEFA,In Progress,85.0,,1.0,6.0,3.0,2.0,
Turkey,UEFA,In Progress,85.0,,2.0,6.0,3.0,0.0,
Georgia,UEFA,In Progress,50.0,,3.0,4.0,3.0,0.0,
Czechia,UEFA,In Progress,20.0,,4.0,1.0,3.0,-2.0,
